date,municipality,state,highestsize,minsize,avgsize,violent_protest,curfew_protest,property_damage_protest,police_protest,url_source1,url_source2,countlove,wiki,ipsos
2020-05-28,Fridley,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/,1,0,0
2020-05-28,Maplewood,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/,1,0,0
2020-05-28,Minneapolis,Minnesota,1000,1000,1000,NA,NA,NA,NA,NA,https://www.startribune.com/minneapolis-police-station-set-on-fire-protesters-march-downtown/570849592/,1,0,0
2020-05-28,Minneapolis–SaintPaul,Minnesota,1000,1000,1000,1,0,1,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Minneapolis%E2%80%93Saint_Paul,NA,0,1,0
2020-05-28,Roseville,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/,1,0,0
2020-05-28,St.Anthony,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/,1,0,0
2020-05-28,St.Paul,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,https://www.mic.com/p/protests-over-george-floyds-death-are-escalating-in-minneapolis-beyond-22942046,1,0,0
2020-05-28,St.Peter,Minnesota,300,300,300,NA,NA,NA,NA,NA,https://www.mankatofreepress.com/news/hundreds-protest-in-st-peter-over-the-death-of-george-floyd/article_636411dc-a153-11ea-89b1-df137400cd26.html,1,0,0
2020-05-28,WestSt.Paul,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/,1,0,0
2020-05-28,AnnArbor,Michigan,NA,NA,NA,NA,NA,NA,NA,NA,https://www.mlive.com/news/ann-arbor/2020/06/ann-arbor-protesters-decry-violent-police-incidents-in-ypsilanti-township-minnesota.html,1,0,0
2020-05-28,Lansing,Michigan,50,50,50,NA,NA,NA,NA,NA,https://www.detroitnews.com/story/news/politics/2020/05/28/we-have-arm-ourselves-michigan-demonstrators-protest-brutality/5275209002/,1,0,0
2020-05-28,PittsfieldCharterTownship,Michigan,300,300,300,NA,NA,NA,NA,NA,https://www.mlive.com/news/ann-arbor/2020/05/free-shateina-continued-incarceration-of-ypsilanti-woman-leads-300-protesters-to-block-streets-again.html,1,0,0
