"","Date","Location","Attendees","Event (legacy; see tags)","Tags","Curated","Source","Total Articles","City","State Name","State Code","NAME","STNAME","SUMLEV","STATE","COUNTY","PLACE","COUSUB","CONCIT","PRIMGEO_FLAG","FUNCSTAT","CENSUS2010POP","ESTIMATESBASE2010","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014","POPESTIMATE2015","POPESTIMATE2016","POPESTIMATE2017","POPESTIMATE2018","POPESTIMATE2019"
"33",2020-05-28,"Statehouse, Columbus, OH",400,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.thedenverchannel.com/news/national/columbus-protest-over-george-floyds-death-turns-violent",49,"Statehouse, Columbus","Ohio","OH","Columbus","Ohio","162","39","000","18000","00000","00000",0,"A","787033",789018,790943,800607,812740,827797,841673,854950,866894,881694,890869,898553
"34",2020-05-28,"Downtown, Los Angeles, CA",100,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.smdp.com/george-floyd-protesters-march-from-santa-monica-to-venice/192147",21,"Downtown, Los Angeles","California","CA","Los Angeles","California","162","06","000","44000","00000","00000",0,"A","3792621",3793139,3795512,3820876,3851202,3881622,3909901,3938568,3963226,3975788,3977596,3979576
"35",2020-05-28,"Fort Collins, CO",100,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.coloradoan.com/story/news/2020/05/28/george-floyd-death-fort-collins-police-nationwide-protests-violence-brutality/5280671002/",1,"Fort Collins","Colorado","CO","Fort Collins","Colorado","162","08","000","27425","00000","00000",0,"A","143986",144879,145268,146673,149508,152668,156804,160991,163004,165541,168324,170243
"36",2020-05-28,"St. Louis, MO",15,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","http://www.stlamerican.com/news/local_news/minneapolis-police-killing-of-george-floyd-protested-in-st-louis/article_0cc91eaa-a179-11ea-98c0-cbbb8de6e805.html",2,"St. Louis","Missouri","MO","St. Louis","Missouri","162","29","000","65000","00000","00000",0,"A","319294",319289,319336,319344,319416,318476,317399,316010,312633,308233,303419,300576
"37",2020-05-28,"Memphis, TN",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://dailymemphian.com/article/14459/jim-strickland-george-floyd-memphis-protest",24,"Memphis","Tennessee","TN","Memphis","Tennessee","162","47","000","48000","00000","00000",0,"A","646889",651873,652326,655341,658786,657146,654990,654106,652548,650878,651104,651073
"38",2020-05-28,"Blaine, MN",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.hometownsource.com/abc_newspapers/news/publicsafety/police-minimal-damage-at-northtown-mall-after-crowd-gathered-to-protest-may-28/article_27436088-a1ec-11ea-8c7b-27d19de7c5db.html",1,"Blaine","Minnesota","MN","Blaine","Minnesota","162","27","000","06382","00000","00000",0,"A","57186",57179,57409,58194,59438,60500,61386,62360,63191,64288,65082,65607
"39",2020-05-28,"Apple Valley, MN",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/",1,"Apple Valley","Minnesota","MN","Apple Valley","Minnesota","162","27","000","01900","00000","00000",0,"A","49084",49092,49146,49492,49721,49925,50195,50950,51938,52390,54065,55135
"40",2020-05-28,"Maplewood, MN",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/",1,"Maplewood","Minnesota","MN","Maplewood","Minnesota","162","27","000","40382","00000","00000",0,"A","38018",38016,38080,38635,39038,39400,39814,40055,40245,40690,40915,40885
"41",2020-05-28,"Roseville, MN",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/",1,"Roseville","Minnesota","MN","Roseville","Minnesota","162","27","000","55852","00000","00000",0,"A","33660",33661,33709,34099,34731,34987,35352,35486,35699,36114,36347,36457
"42",2020-05-28,"St. Anthony, MN",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/",1,"St. Anthony","Minnesota","MN","St. Anthony","Minnesota","162","27","000","56680","00000","00000",0,"A","8226",8226,8236,8344,8418,8602,8970,8994,9031,9038,9049,9013
